Type,Name,Fee,Batch,Duration,Timing,Trending,Badge,InfoLink
Course,MS-OFFICE,2500,,,,yes,,
Batch,MS-OFFICE,,Batch 1,45,10:00 AM - 12:00 PM,,,
Batch,MS-OFFICE,,Batch 2,45,9:00 AM - 11:00 AM,,,
Course,TALLY PRIME WITH GST,3000,,,,,,
Course,PHOTOSHOP,3000,,,,,,
Course,D.T.P,5500,,,,,,
Course,VIDEO EDITING,5000,,,,,,
Course,PYTHON,3500,,,,yes,,
Course,C-LANGUAGE,3000,,,,,,
Course,JAVA,3500,,,,,,
Course,MS-OFFICE & C-LANGUAGE,5000,,,,,,
Course,PAGEMAKER,2000,,,,,,
Course,TELUGU TYPING,1500,,,,,,
Course,DSA,3000,,,,,,
Course,CSS,2000,,,,,,
Course,JAVASCRIPT,3000,,,,,,
Course,MS EXCEL,1500,,,,,,
Course,PGDCA,6500,,,,,,
Course,ADVANCED EXCEL,3000,,,,,,
